'Abatis' 100mm Steel Plates	铁网100mm钢附甲板
Megathron Police Edition Blueprint	万王宝座级警察版蓝图
Megathron Police SKIN (30 Days)	万王宝座级警察涂装（30天）
Megathron Police SKIN (365 Days)	万王宝座级警察涂装（365天）
Megathron Police SKIN (7 Days)	万王宝座级警察涂装（7天）
Megathron Police SKIN (90 Days)	万王宝座级警察涂装（90天）
Megathron Police SKIN (Permanent)	万王宝座级警察涂装（无限期）
Megathron Quafe Edition	万王宝座级酷菲版
Megathron Quafe Edition Blueprint	万王宝座级酷菲版蓝图
Megathron Quafe SKIN (30 Days)	万王宝座级酷菲涂装（30天）
Megathron Quafe SKIN (365 days)	万王宝座级酷菲涂装（365天）
Megathron Quafe SKIN (7 Days)	万王宝座级酷菲涂装（7天）
Megathron Quafe SKIN (90 Days)	万王宝座级酷菲涂装（90天）
Megathron Quafe SKIN (Permanent)	万王宝座级酷菲涂装（无限期）
Megathron Quafe Serenity Only SKIN (Permanent)	万王宝座级酷菲涂装（无限期）
Megathron Serenity YC117 SKIN (30 Days)	万王宝座级YC117年涂装（30天）
Megathron Serenity YC117 SKIN (365 Days)	万王宝座级YC117年涂装（365天）
Megathron Serenity YC117 SKIN (7 Days)	万王宝座级YC117年涂装（7天）
Megathron Serenity YC117 SKIN (90 Days)	万王宝座级YC117年涂装（90天）
Megathron Serenity YC117 SKIN (Permanent)	万王宝座级YC117年涂装（无限期）
Megathron Serpentis SKIN (Permanent)	万王宝座级天蛇涂装（无限期）
Megathron Serpentis Serenity Only SKIN (30 Days)	万王宝座级天蛇涂装（30天）
Megathron Serpentis Serenity Only SKIN (365 Days)	万王宝座级天蛇涂装（365天）
Megathron Serpentis Serenity Only SKIN (7 Days)	万王宝座级天蛇涂装（7天）
Megathron Serpentis Serenity Only SKIN (90 Days)	万王宝座级天蛇涂装（90天）
Megathron Serpentis Serenity Only SKIN (Permanent)	万王宝座级天蛇涂装（无限期）
Megathron Valimor Legacy SKIN (Permanent)	万王宝座级瓦里莫遗产涂装（无限期）
Megathron Valimor Legacy Serenity Only SKIN (30 Days)	万王宝座级瓦里莫遗产涂装（30天）
Megathron Valimor Legacy Serenity Only SKIN (365 Days)	万王宝座级瓦里莫遗产涂装（365天）
Megathron Valimor Legacy Serenity Only SKIN (7 Days)	万王宝座级瓦里莫遗产涂装（7天）
Megathron Valimor Legacy Serenity Only SKIN (90 Days)	万王宝座级瓦里莫遗产涂装（90天）
Megathron Valimor Legacy Serenity Only SKIN (Permanent)	万王宝座级瓦里莫遗产涂装（无限期）
Megathron Wreck	万王宝座级残骸
Megathron YC119 Guardian's Gala 'Spirit' Edition SKIN (Permanent)	万王宝座级YC119年守护者“派对精神”涂装（无限期）
Megathron under frantic repair	疯狂维修中的万王宝座
Melted Capacitor Console	短路的电容器控制台
Melted Nanoribbons	熔化的纳米带
Melted Snowball CVII	融化的雪球CVII
Melted Snowball CX	融化的雪球CX
Memory	记忆
Memory Augmentation - Advanced	记忆强植体—高级
Memory Augmentation - Basic	记忆增强体—基础级
Memory Augmentation - Elite	记忆增强体—精英级
Memory Augmentation - Improved	记忆增强体—强化级
Memory Augmentation - Standard	记忆增强体—标准级
Memory Modifier	记忆调整
Men's 'Ascend' Boots (brown/gold)	男式'攀升'中靴(棕/金)
Men's 'Ascend' Boots (grey/silver)	男式'攀升'中靴(灰/银)
Men's 'Ascend' Boots (maroon/black)	男式'攀升'中靴(栗/黑)
Men's 'Ascend' Boots (royal)	男式'攀升'中靴(皇家)
Men's 'Ascend' Boots (white/gold)	男式'攀升'中靴(白/金)
Men's 'Boarder' Cap (Digital Camo)	男式'寄居者'帽子（数码迷彩）
Men's 'Boneweld' Facial Augmentation	男式'接骨'面部改装
Men's 'Bridgestat' Facial Augmentation	男式'桥梁'面部改装
Men's 'Circuitrun' Facial Augmentation	男式'电路'面部改装
Men's 'Commando' Pants (black wax)	男式'突击队'长裤(蜡黑色)
Men's 'Commando' Pants (black)	男式'突击队'长裤(黑色)
Men's 'Commando' Pants (blue)	男式'突击队'长裤(蓝色)
Men's 'Commando' Pants (brown camo)	男式'突击队'长裤(棕迷彩)
Men's 'Commando' Pants (gold/black)	男式'突击队'长裤(金/黑)
Men's 'Commando' Pants (gray/black)	男式'突击队'长裤(灰/黑)
Men's 'Commando' Pants (green camo)	男式'突击队'长裤(绿迷彩)
Men's 'Commando' Pants (red/black)	男式'突击队'长裤(红/黑)
Men's 'Crusher' Cybernetic Arm (black and orange left)	男式'击碎者'机械义肢(黑/橙/左)
Men's 'Crusher' Cybernetic Arm (black and orange right)	男式'击碎者'机械义肢(黑/橙/右)
Men's 'Crusher' Cybernetic Arm (black and red left)	男式'击碎者'机械义肢(黑/红/左)
Men's 'Crusher' Cybernetic Arm (black and red right)	男式'击碎者'机械义肢(黑/红/右)
Men's 'Crusher' Cybernetic Arm (black and yellow left)	男式'击碎者'机械义肢(黑/黄/左)
Men's 'Crusher' Cybernetic Arm (black and yellow right)	男式'击碎者'机械义肢(黑/黄/右)
Men's 'Crusher' Cybernetic Arm (blue and white left)	男式'击碎者'机械义肢(蓝/白/左)
Men's 'Crusher' Cybernetic Arm (blue and white right)	男式'击碎者'机械义肢(蓝/白/右)
Men's 'Crusher' Cybernetic Arm (green and yellow left)	男式'击碎者'机械义肢(绿/黄/左)
Men's 'Crusher' Cybernetic Arm (green and yellow right)	男式'击碎者'机械义肢(绿/黄/右)
Men's 'Crusher' Cybernetic Arm (green camo left)	男式'击碎者'机械义肢(绿色迷彩/左)
Men's 'Crusher' Cybernetic Arm (green camo right)	男式'击碎者'机械义肢(绿色迷彩/右)
Men's 'Crusher' Cybernetic Arm (gunmetal left)	男式'击碎者'机械义肢(枪炮铜/左)
Men's 'Crusher' Cybernetic Arm (gunmetal right)	男式'击碎者'机械义肢(枪炮铜/右)
Men's 'Curate' Coat (black/silver)	男式'牧师'大衣(黑/银)
Men's 'Curate' Coat (dark bronze)	男式'牧师'大衣(黑古铜)
Men's 'Curate' Coat (festive)	男式'牧师'大衣(节日)
Men's 'Curate' Coat (red/gold)	男式'牧师'大衣(红/金)
Men's 'Curate' Coat (royal gold)	男式'牧师'大衣(皇家金)
Men's 'Curate' Coat (white gold)	男式'牧师'大衣(白金)
Men's 'Dread' Beret (Guristas)	男式'恐惧'贝雷帽（古斯塔斯）
Men's 'Emergent Threats' T-shirt YC 117	男式'异星'T恤 YC117年版
Men's 'Esquire' Coat	男式'君子'大衣
Men's 'Esquire' Coat (black)	男式'君子'大衣(黑色)
Men's 'Esquire' Coat (green/gold)	男式'君子'大衣(绿金)
Men's 'Esquire' Coat (matte graphite)	男式'君子'大衣(磨砂石墨)
Men's 'Esquire' Coat (matte gray)	男式'君子'大衣(磨砂灰)
Men's 'Esquire' Coat (matte green)	男式'君子'大衣(磨砂绿)
Men's 'Esquire' Coat (red/gold)	男式'君子'大衣(红/金)
Men's 'Esquire' Coat (silver)	男式'君子'大衣(银色)
Men's 'Field Marshal' Coat	男式'元帅'大衣
Men's 'Field Marshal' Coat (green)	男式'元帅'大衣(绿色)
Men's 'Form' T-shirt (Blood Raiders)	男式'架构'T恤(血袭者)
Men's 'Form' T-shirt (black)	男式'架构'T恤(黑色)
Men's 'Form' T-shirt (blue)	男式'架构'T恤(蓝色)
Men's 'Form' T-shirt (brown)	男式'架构'T恤(棕色)
Men's 'Form' T-shirt (dark blue)	男式'架构'T恤(深蓝色)
Men's 'Form' T-shirt (dark camo)	男式'架构'T恤(深色迷彩)
Men's 'Form' T-shirt (dark red)	男式'架构'T恤(深红色)
Men's 'Form' T-shirt (desert camo)	男式'架构'T恤(沙漠迷彩)
Men's 'Form' T-shirt (khaki)	男式'架构'T恤(卡其色)
Men's 'Form' T-shirt (light gray)	男式'架构'T恤(浅灰)
Men's 'Form' T-shirt (olive)	男式'架构'T恤(橄榄色)
Men's 'Form' T-shirt (white)	男式'架构'T恤(白色)
Men's 'Hephaestus' Pants (blue)	男式'火神'长裤(蓝色)
Men's 'Hephaestus' Pants (cyan)	男式'火神'长裤(青色)
Men's 'Hephaestus' Pants (desert)	男式'火神'长裤(沙漠色)
Men's 'Hephaestus' Pants (gray/orange)	男式'火神'长裤(灰/橙)
Men's 'Hephaestus' Pants (green)	男式'火神'长裤(绿色)
Men's 'Hephaestus' Pants (white/red)	男式'火神'长裤(白/红)
Men's 'Hephaestus' Shirt (blue)	男式'火神'衬衫(蓝色)
Men's 'Hephaestus' Shirt (cyan)	男式'火神'衬衫(青色)
Men's 'Hephaestus' Shirt (desert)	男式'火神'衬衫(沙漠色)
Men's 'Hephaestus' Shirt (gray/orange)	男式'火神'衬衫(灰/橙)
Men's 'Hephaestus' Shirt (green)	男式'火神'衬衫(绿色)
Men's 'Hephaestus' Shirt (white/red)	男式'火神'衬衫(白/红)
Men's 'Hephaestus' Shoes (blue)	男式'火神'便鞋(蓝色)
Men's 'Hephaestus' Shoes (cyan)	男式'火神'便鞋(青色)
Men's 'Hephaestus' Shoes (desert)	男式'火神'便鞋(沙漠色)
Men's 'Hephaestus' Shoes (gray/orange)	男式'火神'便鞋(灰/橙)
Men's 'Hephaestus' Shoes (green)	男式'火神'便鞋(绿色)
Men's 'Hephaestus' Shoes (white/red)	男式'火神'便鞋(白/红)
Men's 'Humanitarian' T-shirt YC 115	男式'博爱'T恤 YC115年
Men's 'Humanitarian' T-shirt YC 117	男式'博爱'T恤 YC117年
Men's 'Impact' Jacket (dark red)	男式'影响力'夹克(深红色)
Men's 'Impact' Jacket (graphite)	男式'影响力'夹克(石墨色)
Men's 'Impact' Jacket (green camo)	男式'影响力'夹克(绿色迷彩)
Men's 'Impact' Jacket (monochrome)	男式'影响力'夹克(黑白)
Men's 'Impact' Jacket (reflective blue)	男式'影响力'夹克(反光蓝)
Men's 'Lockstep' Boots	男式'同步'中靴
Men's 'Lockstep' Boots (true black)	男式'同步'中靴(纯黑)
Men's 'Lockstep' Boots (worn brown)	男式'同步'中靴(陈棕)
Men's 'Luxury' T-shirt	男式'奢华'T恤
Men's 'March' Boots (Black)	男式'行军'短靴(黑色)
Men's 'March' Boots (Blue)	男式'行军'短靴(蓝色)
Men's 'March' Boots (Brown)	男式'行军'短靴(棕色)
Men's 'March' Boots (Graphite)	男式'行军'短靴(石墨色)
Men's 'March' Boots (White)	男式'行军'短靴(白色)
Men's 'Marshal' Jacket (Amarr)	男式'元帅'夹克(艾玛)
Men's 'Marshal' Jacket (Angel Cartel)	男式'元帅'夹克(天使)
Men's 'Marshal' Jacket (Blood Raiders)	男式'元帅'夹克(血袭者)
Men's 'Marshal' Jacket (Caldari)	男式'元帅'夹克(加达里)
Men's 'Marshal' Jacket (Gallente)	男式'元帅'夹克(盖伦特)
Men's 'Marshal' Jacket (Guristas)	男式'元帅'夹克(古斯塔斯)
Men's 'Marshal' Jacket (InterBus)	男式'元帅'夹克(星际捷运)
Men's 'Marshal' Jacket (Minmatar)	男式'元帅'夹克(米玛塔尔)
Men's 'Marshal' Jacket (Mordu's Legion)	男式'元帅'夹克(莫德团)
Men's 'Marshal' Jacket (ORE)	男式'元帅'夹克(联合矿业)
Men's 'Marshal' Jacket (Sansha's Nation)	男式'元帅'夹克(萨沙)
Men's 'Marshal' Jacket (Serpentis)	男式'元帅'夹克(天蛇)
Men's 'Marshal' Jacket (Sisters of EVE)	男式'元帅'夹克(姐妹会)
Men's 'Marshall' Jacket (Blood Raiders black/red)	男式'元帅'夹克(血袭者/红黑)
Men's 'Mirelle' Pants (Upwell)	男式'米雷尔'长裤(昇威)
Men's 'Mirelle' T-Shirt (Upwell)	男式'米雷尔'T恤(昇威)
Men's 'Mirelle' Upwell Executive Coat	男式'米雷尔'昇威执行官外套
Men's 'New Eden Open I' T-shirt YC 114	男式'新伊甸公开赛 I'T恤 YC114年版
Men's 'New Eden Open II' T-shirt YC 116	男式'新伊甸公开赛 II'T恤 YC116年版
Men's 'Nova' Headwear (black)	男式'新星'头饰(黑色)
Men's 'Nova' Headwear (bronze)	男式'新星'头饰(古铜色)
Men's 'Nova' Headwear (gold)	男式'新星'头饰(金色)
Men's 'Nova' Headwear (silver)	男式'新星'头饰(银色)
Men's 'Outlaw' Boots (Blood Raiders)	男式'歹徒'长靴(血袭者)
Men's 'Outlaw' Boots (Guristas)	男式'歹徒'长靴(古斯塔斯)
Men's 'Outlaw' Boots (Sansha's Nation)	男式'歹徒'长靴(萨沙)
Men's 'Outlaw' Jacket (Blood Raiders extra red)	男式'歹徒'夹克(血袭者/饱和红)
Men's 'Outlaw' Jacket (Blood Raiders)	男式'歹徒'夹克(血袭者)
Men's 'Outlaw' Jacket (Burnt Orange)	男式'歹徒'夹克(燃烧橙)
Men's 'Outlaw' Jacket (Guristas)	男式'歹徒'夹克(古斯塔斯)
Men's 'Outlaw' Jacket (Sansha's Nation)	男式'歹徒'夹克(萨沙)
Men's 'Outlaw' Pants (Blood Raiders)	男式'歹徒'长裤(血袭者)
Men's 'Outlaw' Pants (Guristas)	男式'歹徒'长裤(古斯塔斯)
Men's 'Outlaw' Pants (Sansha's Nation)	男式'歹徒'长裤(萨沙)
Men's 'Phanca' Cybernetic Arm (left)	男式'幻影'机械义肢(左)
Men's 'Phanca' Cybernetic Arm (right)	男式'幻影'机械义肢(右)
Men's 'Pithum' Beret (Guristas)	男式'皮特姆'贝雷帽（古斯塔斯）
Men's 'Precision' Boots	男式'精准'短靴
Men's 'Precision' Boots (brown)	男式'精准'短靴(棕色)
Men's 'Precision' Boots (gray)	男式'精准'短靴(灰色)
Men's 'Precision' Boots (tan)	男式'精准'短靴(古铜)
Men's 'Quafe' T-shirt YC 113	男式'酷菲'T恤 YC113年版
Men's 'Quafe' T-shirt YC 114	男式'酷菲'T恤 YC114年版
Men's 'Quafe' T-shirt YC 115	男式'酷菲'T恤 YC115年版
Men's 'Quafe' T-shirt YC 116	男式'酷菲'T恤 YC116年版
Men's 'Quafethron' T-shirt	男式'酷菲万王'T恤
Men's 'Red Star' T-shirt	男式'红星'T恤
Men's 'Rider' Pants (black silver)	男式'骑手'长裤(黑银)
Men's 'Rider' Pants (red gold)	男式'骑手'长裤(红金)
Men's 'Rider' Pants (reflective blue)	男式'骑手'长裤(反光蓝)
Men's 'Rider' Pants (royal gold)	男式'骑手'长裤(皇家金)
Men's 'Rider' Pants (white gold)	男式'骑手'长裤(白金)
Men's 'Serpentis' T-shirt (olive/black)	男式'天蛇'T恤(橄榄/黑)
Men's 'Setcouple' Facial Augmentation	男式'成双'面部改装
Men's 'Source' Coat (black)	男式'起源'大衣(黑色)
Men's 'Sterling' Dress Shirt (Ishukone Special Edition)	男式'标准'衬衫(异株湖特别版)
Men's 'Sterling' Dress Shirt (black)	男式'标准'衬衫(黑色)
Men's 'Sterling' Dress Shirt (dust)	男式'标准'衬衫(沙漠色)
Men's 'Sterling' Dress Shirt (gold leather)	男式'标准'衬衫(金饰皮革)
Men's 'Sterling' Dress Shirt (gray)	男式'标准'衬衫(灰色)
Men's 'Sterling' Dress Shirt (navy)	男式'标准'衬衫(海军蓝)
Men's 'Sterling' Dress Shirt (olive)	男式'标准'衬衫(橄榄绿)
Men's 'Sterling' Dress Shirt (red/black leather)	男式'标准'衬衫(红/黑皮革)
Men's 'Sterling' Dress Shirt (white)	男式'标准'衬衫(白色)
Men's 'Sterling' Dress Shirt (white/blue)	男式'标准'衬衫(白/蓝)
Men's 'Street' Shirt (black)	男式'大道'背心(黑色)
Men's 'Street' Shirt (blue)	男式'大道'背心(蓝色)
Men's 'Street' Shirt (brown camo)	男式'大道'背心(棕色迷彩)
Men's 'Street' Shirt (brown)	男式'大道'背心(棕色)
Men's 'Street' Shirt (gray urban camo)	男式'大道'背心(灰色城市迷彩)
Men's 'Street' Shirt (gray)	男式'大道'背心(灰色)
Men's 'Street' Shirt (green camo)	男式'大道'背心(绿色迷彩)
Men's 'Street' Shirt (green)	男式'大道'背心(绿色)
Men's 'Street' Shirt (urban camo)	男式'大道'背心(城市迷彩)
Men's 'Street' Shirt (white)	男式'大道'背心(白色)
Men's 'Strider' Pants (black)	男式'挺进者'长裤(黑色)
Men's 'Strider' Pants (dark red)	男式'挺进者'长裤(深红色)
Men's 'Strider' Pants (graphite)	男式'挺进者'长裤(石墨色)
Men's 'Strider' Pants (green camo)	男式'挺进者'长裤(绿色迷彩)
Men's 'Strider' Pants (monochrome)	男式'挺进者'长裤(黑白)
Men's 'Tectonic' Headwear (matte black)	男式'构造'头饰(磨砂黑)
Men's 'Tectonic' Headwear (metal)	男式'构造'头饰(金属色)
Men's 'Tectonic' Headwear (shiny black)	男式'构造'头饰(光泽黑)
